Year,Month,Day,Hour,Stop,Passengers,Average temperature,Wind speed,Precipitation
2019,9,1,6,98,1,14.8,2.5,0
2019,9,1,6,99,5,14.8,2.5,0
2019,9,1,6,98,6,14.8,2.5,0
2019,9,1,7,99,3,14.5,2.4,0
2019,9,1,7,98,5,14.5,2.4,0
2019,9,1,7,99,14,14.5,2.4,0
2019,9,1,8,98,9,14.8,2.3,0
2019,9,1,8,99,55,14.8,2.3,0
2019,9,1,8,98,16,14.8,2.3,0
2019,9,1,8,99,37,14.8,2.3,0
2019,9,1,9,98,19,17.2,2.4,0
2019,9,1,9,99,95,17.2,2.4,0
2019,9,1,9,98,19,17.2,2.4,0
2019,9,1,9,99,103,17.2,2.4,0
2019,9,1,10,98,20,19.2,2.8,0
2019,9,1,10,99,92,19.2,2.8,0
2019,9,1,10,98,17,19.2,2.8,0
2019,9,1,10,99,140,19.2,2.8,0
2019,9,1,10,98,31,19.2,2.8,0
2019,9,1,11,99,117,19.9,3.1,0
2019,9,1,11,99,161,19.9,3.1,0
2019,9,1,10,99,136,19.2,2.8,0
2019,9,1,11,98,43,19.9,3.1,0
2019,9,1,11,98,23,19.9,3.1,0
2019,9,1,11,99,178,19.9,3.1,0
2019,9,1,11,98,77,19.9,3.1,0
2019,9,1,11,99,146,19.9,3.1,0
2019,9,1,11,98,21,19.9,3.1,0
2019,9,1,12,99,199,20.6,3.2,0
2019,9,1,12,98,46,20.6,3.2,0
2019,9,1,12,99,189,20.6,3.2,0
2019,9,1,12,98,47,20.6,3.2,0
2019,9,1,12,99,167,20.6,3.2,0
2019,9,1,12,98,62,20.6,3.2,0
2019,9,1,12,99,220,20.6,3.2,0
2019,9,1,12,98,81,20.6,3.2,0
2019,9,1,13,98,108,21.3,2.9,0
2019,9,1,13,99,239,21.3,2.9,0
2019,9,1,13,99,193,21.3,2.9,0
2019,9,1,13,98,107,21.3,2.9,0
2019,9,1,13,99,159,21.3,2.9,0
2019,9,1,13,98,100,21.3,2.9,0
2019,9,1,13,99,210,21.3,2.9,0
2019,9,1,13,98,180,21.3,2.9,0
2019,9,1,14,99,225,22.1,3.4,0
2019,9,1,14,98,102,22.1,3.4,0
2019,9,1,14,98,116,22.1,3.4,0
2019,9,1,14,99,230,22.1,3.4,0
2019,9,1,14,99,237,22.1,3.4,0
2019,9,1,14,98,216,22.1,3.4,0
2019,9,1,15,98,277,22,3.5,0
2019,9,1,15,99,226,22,3.5,0
2019,9,1,15,99,164,22,3.5,0
2019,9,1,15,98,294,22,3.5,0
2019,9,1,15,99,166,22,3.5,0
2019,9,1,15,98,224,22,3.5,0
2019,9,1,15,99,124,22,3.5,0
2019,9,1,16,98,229,21.6,4,0
2019,9,1,16,99,110,21.6,4,0
2019,9,1,16,98,201,21.6,4,0
2019,9,1,16,98,175,21.6,4,0
2019,9,1,16,99,92,21.6,4,0
2019,9,1,16,99,86,21.6,4,0
2019,9,1,16,98,221,21.6,4,0
2019,9,1,16,99,98,21.6,4,0
2019,9,1,17,98,194,21.1,3.6,0
2019,9,1,17,99,60,21.1,3.6,0
2019,9,1,17,98,191,21.1,3.6,0
